discipline_title,slug_game,city_host,country_host,continent_host,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Cycling Road,antwerp-1920,Antwerp,Belgium,Europe,team time trial men,Men,GOLD,GameTeam,France team,,,France,FR,FRA
Cycling Road,antwerp-1920,Antwerp,Belgium,Europe,team time trial men,Men,SILVER,GameTeam,Sweden team,,,Sweden,SE,SWE
Cycling Road,antwerp-1920,Antwerp,Belgium,Europe,team time trial men,Men,BRONZE,GameTeam,Belgium team,,,Belgium,BE,BEL
Cycling Road,antwerp-1920,Antwerp,Belgium,Europe,individual time trial men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/harry-stenqvist,Harry STENQVIST,Sweden,SE,SWE
Cycling Road,antwerp-1920,Antwerp,Belgium,Europe,individual time trial men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/henry-justaves-kaltenbrun,Henry Justaves KALTENBRUN,South Africa,ZA,RSA
Cycling Road,antwerp-1920,Antwerp,Belgium,Europe,individual time trial men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/fernand-canteloube,Fernand CANTELOUBE,France,FR,FRA
Equestrian Jumping,antwerp-1920,Antwerp,Belgium,Europe,individual mixed,Men,GOLD,Athlete,,https://olympics.com/en/athletes/tommaso-lequio-di-assaba,Tommaso LEQUIO DI ASSABA,Italy,IT,ITA
Equestrian Jumping,antwerp-1920,Antwerp,Belgium,Europe,individual mixed,Men,SILVER,Athlete,,https://olympics.com/en/athletes/alessandro-valerio,Alessandro VALERIO,Italy,IT,ITA
Equestrian Jumping,antwerp-1920,Antwerp,Belgium,Europe,individual mixed,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/carl-gustaf-lewenhaupt,Carl Gustaf LEWENHAUPT,Sweden,SE,SWE
Equestrian Jumping,antwerp-1920,Antwerp,Belgium,Europe,team mixed,Men,GOLD,GameTeam,Sweden team,,,Sweden,SE,SWE
Equestrian Jumping,antwerp-1920,Antwerp,Belgium,Europe,team mixed,Men,SILVER,GameTeam,Belgium team,,,Belgium,BE,BEL
Equestrian Jumping,antwerp-1920,Antwerp,Belgium,Europe,team mixed,Men,BRONZE,GameTeam,Italy team,,,Italy,IT,ITA
Hockey,antwerp-1920,Antwerp,Belgium,Europe,hockey men,Men,GOLD,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Hockey,antwerp-1920,Antwerp,Belgium,Europe,hockey men,Men,SILVER,GameTeam,Denmark team,,,Denmark,DK,DEN
Hockey,antwerp-1920,Antwerp,Belgium,Europe,hockey men,Men,BRONZE,GameTeam,Belgium team,,,Belgium,BE,BEL
Polo,antwerp-1920,Antwerp,Belgium,Europe,polo men,Men,GOLD,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Polo,antwerp-1920,Antwerp,Belgium,Europe,polo men,Men,SILVER,GameTeam,Spain team,,,Spain,ES,ESP
Polo,antwerp-1920,Antwerp,Belgium,Europe,polo men,Men,BRONZE,GameTeam,United States team,,,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,4x100m freestyle relay women,Women,GOLD,GameTeam,United States team,,,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,4x100m freestyle relay women,Women,SILVER,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Swimming,antwerp-1920,Antwerp,Belgium,Europe,4x100m freestyle relay women,Women,BRONZE,GameTeam,Sweden team,,,Sweden,SE,SWE
Swimming,antwerp-1920,Antwerp,Belgium,Europe,4x200m freestyle relay men,Men,GOLD,GameTeam,United States team,,,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,4x200m freestyle relay men,Men,SILVER,GameTeam,Australia team,,,Australia,AU,AUS
Swimming,antwerp-1920,Antwerp,Belgium,Europe,4x200m freestyle relay men,Men,BRONZE,GameTeam,Great Britain team,,,Great Britain,GB,GBR
Swimming,antwerp-1920,Antwerp,Belgium,Europe,1500m freestyle men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/norman-ross,Norman ROSS,United States of America,US,USA
Swimming,antwerp-1920,Antwerp,Belgium,Europe,1500m freestyle men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/george-vernot,George VERNOT,Canada,CA,CAN
