discipline_title	slug_game	city_host	country_host	continent_host	event_title	event_gender	medal_type	participant_type	participant_title	athlete_url	athlete_full_name	country_name	country_code	country_3_letter_code
Athletics	stockholm-1912	Stockholm	Sweden	Europe	200m men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/william-applegarth	William APPLEGARTH	Great Britain	GB	GBR
Athletics	stockholm-1912	Stockholm	Sweden	Europe	cross country individual men	Men	GOLD	Athlete		https://olympics.com/en/athletes/hannes-kolehmainen	Hannes KOLEHMAINEN	Finland	FI	FIN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	cross country individual men	Men	SILVER	Athlete		https://olympics.com/en/athletes/hjalmar-andersson	Hjalmar ANDERSSON	Sweden	SE	SWE
Athletics	stockholm-1912	Stockholm	Sweden	Europe	cross country individual men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/john-eke	John EKE	Sweden	SE	SWE
Athletics	stockholm-1912	Stockholm	Sweden	Europe	5000m men	Men	GOLD	Athlete		https://olympics.com/en/athletes/hannes-kolehmainen	Hannes KOLEHMAINEN	Finland	FI	FIN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	5000m men	Men	SILVER	Athlete		https://olympics.com/en/athletes/jean-bouin	Jean BOUIN	France	FR	FRA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	5000m men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/george-william-hutson	George William HUTSON	Great Britain	GB	GBR
Athletics	stockholm-1912	Stockholm	Sweden	Europe	javelin throw men	Men	GOLD	Athlete		https://olympics.com/en/athletes/eric-lemming	Eric LEMMING	Sweden	SE	SWE
Athletics	stockholm-1912	Stockholm	Sweden	Europe	javelin throw men	Men	SILVER	Athlete		https://olympics.com/en/athletes/juho-julius-saaristo	Juho Julius SAARISTO	Finland	FI	FIN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	javelin throw men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/mor-kovacs	Mor KOVACS	Hungary	HU	HUN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	triple jump men	Men	GOLD	Athlete		https://olympics.com/en/athletes/gustav-lindblom	Gustav LINDBLOM	Sweden	SE	SWE
